Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Application ID,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source
49,Current employee,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,19,123474,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,3,4,80,1,10,3,3,10,7,1,7,Seek
59,Current employee,Non-Travel,1420,Human Resources,2,4,Human Resources,1,20,123475,1,Male,37,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,3,4,80,1,10,3,3,10,7,1,7,Seek
59,Current employee,Non-Travel,1420,Human Resources,2,4,Life Sciences,1,21,123476,1,Male,37,2,2,Research Scientist,2,Married,5130,24907,2,Y,No,23,3,4,80,1,10,3,3,10,7,1,7,Seek
49,Current employee,Travel_Frequently,279,Research & Development,8,1,Marketing,1,22,123477,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,3,Y,No,23,3,4,80,1,10,3,3,10,7,1,7,Seek
49,Current employee,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,23,123478,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,Seek
49,Current employee,Travel_Frequently,279,Research & Development,8,1,Marketing,1,24,123479,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,3,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,Seek
59,Current employee,Non-Travel,1420,Human Resources,2,4,Human Resources,1,25,123480,1,Male,37,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,Seek
59,Current employee,Non-Travel,1420,Human Resources,2,4,Life Sciences,1,26,123481,1,Male,37,2,2,Research Scientist,2,Married,5130,24907,2,Y,No,23,4,4,80,1,16,3,2,14,8,6,9,Seek
49,Current employee,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,27,123482,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,3,4,80,1,10,3,3,10,7,1,7,Seek
49,Current employee,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,28,123483,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,Indeed
49,Current employee,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,29,123484,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,Y,No,14,3,3,80,1,19,5,2,10,7,0,8,Referral
59,Current employee,Non-Travel,1420,Human Resources,2,4,Human Resources,1,30,123485,1,Male,37,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,3,4,80,1,10,3,3,10,7,1,7,Seek
59,Current employee,Non-Travel,1420,Human Resources,2,4,Life Sciences,1,31,123486,1,Male,37,2,2,Research Scientist,2,Married,5130,24907,2,Y,No,23,3,4,80,1,10,3,3,10,7,1,7,Seek
49,Current employee,Travel_Frequently,279,Research & Development,8,1,Marketing,1,32,123487,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,3,Y,No,23,3,4,80,1,10,3,3,10,7,1,7,Seek
49,Current employee,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,33,123488,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,Seek
49,Current employee,Travel_Frequently,279,Research & Development,8,1,Marketing,1,34,123489,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,3,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,Seek
59,Current employee,Non-Travel,1420,Human Resources,2,4,Human Resources,1,35,123490,1,Male,37,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,Seek
59,Current employee,Non-Travel,1420,Human Resources,2,4,Life Sciences,1,36,123491,1,Male,37,2,2,Research Scientist,2,Married,5130,24907,2,Y,No,23,4,4,80,1,16,3,2,14,8,6,9,Seek
37,Voluntary Resignation,,1373,Research & Development,2,2,Other,1,37,123492,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Seek
54,Current employee,Non-Travel,142,Human Resources,26,3,Human Resources,1,38,123493,1,Male,37,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Seek
37,Voluntary Resignation,Travel_Rarely,1373,Research & Development,2,2,Life Sciences,1,39,123494,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,1,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Seek
54,Current employee,Non-Travel,142,Human Resources,26,3,Technical Degree,1,40,123495,1,Male,37,2,1,Laboratory Technician,3,Single,2090,2396,1,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Seek
37,Voluntary Resignation,Travel_Rarely,1373,Research & Development,2,2,Other,1,41,123496,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Seek
37,Voluntary Resignation,Travel_Rarely,1373,Research & Development,2,2,Life Sciences,1,42,123497,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,1,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Seek
54,Current employee,Non-Travel,142,Human Resources,26,3,Human Resources,1,43,123498,1,Male,37,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Seek
37,Voluntary Resignation,Travel_Rarely,1373,Research & Development,2,2,Other,1,44,123499,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Seek
37,Voluntary Resignation,Travel_Rarely,1373,Research & Development,2,2,Other,1,45,123500,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0,Company Website
37,Voluntary Resignation,Travel_Rarely,1373,Research & Development,2,2,Other,1,46,123501,4,Female,88,2,2,Healthcare Representative,4,Married,4523,4386,0,Y,No,11,4,4,80,3,7,4,4,6,5,0,4,Company Website
54,Current employee,Non-Travel,142,Human Resources,26,3,Human Resources,1,47,123502,1,Male,37,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Seek
37,Voluntary Resignation,Travel_Rarely,1373,Research & Development,2,2,Life Sciences,1,48,123503,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,1,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Seek
54,Current employee,Non-Travel,142,Human Resources,26,3,Technical Degree,1,49,123504,1,Male,37,2,1,Laboratory Technician,3,Single,2090,2396,1,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Seek
37,Voluntary Resignation,Travel_Rarely,1373,Research & Development,2,2,Other,1,50,123505,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Seek
37,Voluntary Resignation,Travel_Rarely,1373,Research & Development,2,2,Life Sciences,1,51,123506,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,1,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Seek
54,Current employee,Non-Travel,142,Human Resources,26,3,Human Resources,1,52,123507,1,Male,37,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Seek
33,Current employee,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,53,123508,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Seek
30,Current employee,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,54,123509,1,Female,37,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Seek
33,Current employee,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,35,123510,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,2,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Seek
30,Current employee,Travel_Rarely,1240,Human Resources,9,3,Medical,1,35,123511,1,Female,37,3,1,Research Scientist,3,Married,2909,23159,3,Y,Yes,11,4,3,80,0,8,3,3,8,7,3,0,Seek
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,123456,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
37,Voluntary Resignation,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,1,123457,1,Female,37,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,4,1,80,0,8,0,1,6,4,0,5,Referral
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,123458,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,4,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
37,Voluntary Resignation,Travel_Rarely,807,Human Resources,6,4,Marketing,1,4,123459,1,Female,37,3,2,Sales Executive,4,Single,5993,19479,5,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
37,Voluntary Resignation,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,5,123460,1,Female,37,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
37,Voluntary Resignation,Travel_Rarely,807,Human Resources,6,4,Marketing,1,6,123461,1,Female,37,3,2,Sales Executive,4,Single,5993,19479,5,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,7,123462,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
30,Current employee,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,35,123512,1,Female,37,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Seek
30,Current employee,Travel_Rarely,1240,Human Resources,9,3,Medical,1,58,123513,1,Female,37,3,1,Research Scientist,3,Married,2909,23159,3,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Company Website
33,Current employee,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,59,123514,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Seek
33,Current employee,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,60,123515,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,2,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Seek
33,Current employee,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,61,123516,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Seek
33,Current employee,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,62,123517,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,Company Website
33,Current employee,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,63,123518,1,Female,62,3,1,Sales Representative,2,Single,3202,21972,1,Y,Yes,16,4,2,80,0,6,4,3,5,3,1,4,Company Website
30,Current employee,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,64,123519,1,Female,37,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Seek
33,Current employee,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,65,123520,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,2,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Seek
30,Current employee,Travel_Rarely,1240,Human Resources,9,3,Medical,1,66,123521,1,Female,37,3,1,Research Scientist,3,Married,2909,23159,3,Y,Yes,11,4,3,80,0,8,3,3,8,7,3,0,Seek
30,Current employee,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,67,123522,1,Female,37,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Seek
30,Current employee,Travel_Rarely,1240,Human Resources,9,3,Medical,1,68,123523,1,Female,37,3,1,Research Scientist,3,Married,2909,23159,3,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Company Website
33,Current employee,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,69,123524,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Seek
33,Current employee,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,70,123525,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,2,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Seek
27,Current employee,Travel_Rarely,591,Research & Development,2,1,Medical,1,71,123526,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Seek
31,Current employee,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,72,123527,1,Male,37,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Seek
27,Current employee,Travel_Rarely,591,Research & Development,2,1,Life Sciences,1,73,123528,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,1,Y,No,12,4,4,80,1,6,3,3,2,2,2,2,Seek
31,Current employee,Travel_Rarely,106,Human Resources,2,3,Life Sciences,1,74,123529,1,Male,37,3,1,Laboratory Technician,2,Married,3468,16632,1,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Seek
27,Current employee,Travel_Rarely,591,Research & Development,2,1,Medical,1,75,123530,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Indeed
27,Current employee,Travel_Rarely,591,Research & Development,2,1,Life Sciences,1,76,123531,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,1,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Seek
31,Current employee,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,77,123532,1,Male,37,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Seek
31,Current employee,Travel_Rarely,106,Human Resources,2,3,Life Sciences,1,78,123533,1,Male,37,3,1,Laboratory Technician,2,Married,3468,16632,1,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Seek
27,Current employee,Travel_Rarely,591,Research & Development,2,1,Medical,1,79,123534,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Seek
27,Current employee,Travel_Rarely,591,Research & Development,2,1,Medical,1,80,123535,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0,Company Website
58,Current employee,Travel_Rarely,682,Sales,10,4,Medical,1,81,123536,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8,Adzuna
26,Termination,Travel_Rarely,1449,Research & Development,16,4,Medical,1,82,123537,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,2,Y,Yes,13,3,4,80,1,5,2,3,3,2,0,2,Recruit.net
27,Current employee,Travel_Rarely,591,Research & Development,2,1,Medical,1,83,123538,4,Female,33,1,1,Sales Representative,3,Divorced,2351,12253,0,Y,No,16,4,4,80,1,3,3,2,2,2,1,0,Company Website
25,Current employee,Travel_Rarely,622,Sales,13,1,Medical,1,84,123539,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,1,Y,No,11,4,3,80,0,7,1,3,7,4,0,6,Company Website
31,Current employee,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,85,123540,1,Male,37,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Seek
18,Voluntary Resignation,Travel_Rarely,230,Research & Development,3,3,Life Sciences,1,86,123541,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,1,Y,No,11,3,1,80,1,20,2,3,20,7,2,13,Seek
31,Current employee,Travel_Rarely,326,Sales,8,2,Life Sciences,1,87,123542,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,4,Y,No,12,4,2,80,2,8,2,4,3,2,1,2,GlassDoor
27,Current employee,Travel_Rarely,591,Research & Development,2,1,Life Sciences,1,88,123543,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,1,Y,No,12,4,4,80,1,6,3,3,2,2,2,2,Seek
31,Current employee,Travel_Rarely,106,Human Resources,2,3,Life Sciences,1,89,123544,1,Male,37,3,1,Laboratory Technician,2,Married,3468,16632,1,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Seek
27,Current employee,Travel_Rarely,591,Research & Development,2,1,Medical,1,90,123545,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Indeed
27,Current employee,Travel_Rarely,591,Research & Development,2,1,Life Sciences,1,91,123546,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,1,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Seek
31,Current employee,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,92,123547,1,Male,37,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Seek
31,Current employee,Travel_Rarely,106,Human Resources,2,3,Life Sciences,1,93,123548,1,Male,37,3,1,Laboratory Technician,2,Married,3468,16632,1,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Seek
32,Current employee,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,94,123549,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
34,Voluntary Resignation,Travel_Frequently,988,Human Resources,23,3,Human Resources,1,95,123550,1,Male,37,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
32,Current employee,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,96,123551,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,1,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
34,Voluntary Resignation,Travel_Frequently,988,Human Resources,23,3,Other,1,97,123552,1,Male,37,3,1,Laboratory Technician,4,Single,3068,11864,1,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
32,Current employee,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,98,123553,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
32,Current employee,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,99,123554,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,1,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
34,Voluntary Resignation,Travel_Frequently,988,Human Resources,23,3,Human Resources,1,100,123555,1,Male,37,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
34,Voluntary Resignation,Travel_Frequently,988,Human Resources,23,3,Other,1,101,123556,1,Male,37,3,1,Laboratory Technician,4,Single,3068,11864,1,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
32,Current employee,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,102,123557,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
32,Current employee,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,103,123558,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,Company Website
44,Current employee,Non-Travel,489,Research & Development,23,3,Medical,1,104,123559,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,4,Y,No,12,4,3,80,1,17,3,4,3,2,1,2,Seek
28,Current employee,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,1,105,123560,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,1,Y,No,21,3,4,80,0,5,3,3,5,3,0,2,Seek
32,Current employee,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,106,123561,4,Male,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Y,Yes,23,3,3,80,1,1,3,3,1,0,0,0,Adzuna
24,Voluntary Resignation,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,107,123562,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,1,Y,Yes,16,4,4,80,1,6,4,3,6,3,1,2,Company Website
34,Voluntary Resignation,Travel_Frequently,988,Human Resources,23,3,Human Resources,1,108,123563,1,Male,37,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
36,Current employee,Travel_Frequently,566,Research & Development,18,4,Life Sciences,1,109,123564,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,1,Y,No,13,3,1,80,2,10,3,3,10,8,0,6,Jora
39,Voluntary Resignation,Non-Travel,592,Research & Development,2,3,Life Sciences,1,110,123565,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,4,Y,No,19,3,3,80,1,10,2,3,6,1,0,5,Company Website
32,Current employee,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,111,123566,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,1,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
34,Voluntary Resignation,Travel_Frequently,988,Human Resources,23,3,Other,1,112,123567,1,Male,37,3,1,Laboratory Technician,4,Single,3068,11864,1,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
32,Current employee,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,113,123568,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
32,Current employee,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,114,123569,,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,1,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
34,Voluntary Resignation,Travel_Frequently,988,Human Resources,23,3,Human Resources,1,115,123570,1,Male,37,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
34,Voluntary Resignation,Travel_Frequently,988,Human Resources,23,3,Other,1,116,123571,1,Male,37,3,1,Laboratory Technician,4,Single,3068,11864,1,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Seek
